country,state,city,station,last_update,latitude,longitude,pollutant_type,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",25-03-2025 10:00,18.91,72.82,CO,24,33,29
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",25-03-2025 10:00,19.2058,72.8682,PM2.5,83,92,85
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",25-03-2025 10:00,19.2058,72.8682,NH3,4,19,8
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",25-03-2025 10:00,19.173852,77.296291,OZONE,8,126,34
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",25-03-2025 10:00,20.0073285,73.7762427,SO2,3,30,7
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",25-03-2025 10:00,20.021503,73.813844,OZONE,3,93,29
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",25-03-2025 10:00,19.95022,73.73148,NH3,2,14,4
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",25-03-2025 10:00,19.95022,73.73148,CO,6,106,58
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",25-03-2025 10:00,19.9591346,73.7788008,PM10,0,0,0
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",25-03-2025 10:00,19.9591346,73.7788008,NO2,0,0,0
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",25-03-2025 10:00,21.121801,79.04952,NH3,1,24,5
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",25-03-2025 10:00,21.14472,79.107595,NH3,3,13,6
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",25-03-2025 10:00,21.152875,79.0517531,NO2,18,86,43
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",25-03-2025 10:00,21.143383,79.048912,NH3,3,9,5
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",25-03-2025 10:00,19.173852,77.296291,PM2.5,56,111,80
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",25-03-2025 10:00,19.0632143,72.8456324,PM10,99,143,118
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",25-03-2025 10:00,19.0863,72.8888,PM10,91,188,118
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",25-03-2025 10:00,18.96702,72.84214,PM2.5,0,0,0
